,T,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,beta_19,beta_20,beta_21,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,psi_11,psi_12,psi_13,psi_14,psi_15,psi_16,psi_17,psi_18,psi_19,psi_20,psi_21
0,5053.936599619072,1421029869.989796,1263370821.875803,1425193037.4839149,1151957496.4472675,1574367795.6618888,1374372604.6129832,1429397980.6616483,2471186510.14696,1651763406.878495,1592009570.6680846,1449866623.5072885,1385158004.0422802,1453596953.9224489,1340712187.3792386,966619723.718692,1254330466.3129473,2241482393.548094,1152325706.523577,1533734921.9506695,1089358198.432518,1543934180.4094067,1305472309.9604025,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.7160741959166209,0.982740739352274,0.4934642184077253,0.951681724352829,0.8547415455382615,0.9707849707919176,0.8026655296521904,0.444872308250449,0.7512300213984563,0.9690720002964173,0.9097166664160566,0.8848991976452087,0.8417985673965789,0.8111881006179297,0.9176491703900469,0.9395157856631399,0.7288101556088351,0.9255090631738636,0.8670760066292598,0.8877109441888004,0.94332514204572,0.9378633811176234,93,36,166,8,67,43,228,343,704,46,26,19,21,33,321,228,6,28,157,69,494,16
1,599.5722384961273,1497308140.6534805,2031686720.311367,1331604305.7327263,1431342500.4266214,1963753145.5696573,1418674931.68815,1139109185.6856985,958361634.0949574,1498701384.5377252,1356683801.5237648,1723851507.439641,1993264008.0942516,1070501988.0855956,1395645748.3442087,1976913929.5125573,2544996742.64734,1462844453.2462275,1277632152.2997847,1775003804.9971325,1368561507.3020103,1451027931.8683696,2101649399.490581,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,0.8075044982776204,0.982740739352274,0.9598728585217395,0.9605978381301563,0.8806070825839426,0.9645992865741717,0.807555150789914,0.9519873610837868,0.825826084801807,0.9799489268458097,0.9393285493053085,0.923137511484374,0.9606413467866394,0.8111881006179297,0.9176491703900469,0.9395157856631399,0.9037419063016456,0.9717252304365885,0.915575717132145,0.9051469200545545,0.9941793137525513,0.9378633811176234,47,267,29,33,389,239,100,42,434,136,341,246,11,110,770,784,1017,364,105,210,120,511
2,762.5261013810778,1727237698.7602637,1909341416.4669333,1139884998.967454,1550301228.9910336,1906149069.6749866,2300020958.444761,1019904763.5140301,2715752254.056058,1374371050.2976356,1665992784.7222373,1785019433.6251488,2236198405.3896513,1351778140.3532734,1302711644.549839,1729587439.1812494,2310194928.2572064,1265075662.3434093,1782646443.2469625,1984121425.0894191,1637067711.7056105,1198949279.4324162,2691674713.9480367,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,False,False,False,True,0.8782840823508666,0.982740739352274,0.9598728585217395,0.9565528168393237,0.9525468601488447,0.9645992865741717,0.9339699863660117,0.9519873610837868,0.8913303634121763,0.99893972550674,0.9393285493053085,0.9636665509183571,0.9514712541096608,0.915726582845323,0.9223053135119988,0.9494627840571874,0.9988051622725049,0.9727234267312601,0.915575717132145,0.9051469200545545,0.9941793137525513,0.9856688757136296,675,491,417,68,84,925,214,743,413,945,334,213,255,44,39,972,691,930,535,538,518,215
3,678.2328577039106,2252429158.9568205,1534817071.7922993,1676687846.5417955,1710858314.020914,1814110721.0791712,1300010013.9089108,1920457791.304007,1383623518.9165998,1427672913.0048945,1794567176.4098077,1525700960.9699068,1659979441.4033446,2044994648.7192998,1318508974.5491016,1505302195.0114193,1422374162.418562,2108498514.2679248,1094911829.4083273,1339498304.7083368,1433495243.5408812,1034700046.7488227,1940973646.8630064,True,True,True,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,0.9542430221122518,0.9837943511240074,0.952282865362643,0.9565528168393237,0.9525468601488447,0.995781168301805,0.934033539752279,0.9519873610837868,0.9342127614504617,0.9918670525694724,0.9567258260015964,0.9636665509183571,0.9514712541096608,0.9099731357460786,0.9932102379087939,0.9481244173564419,0.9988051622725049,0.9727234267312601,0.9692029807356392,0.9972668535723752,0.9941793137525513,0.9856688757136296,133,39,372,218,128,65,582,124,520,69,5,888,964,34,235,13,758,221,111,30,125,867
4,826.854860977879,1464939226.2762604,1425618180.8173954,2066644466.0636134,993739245.0137246,1378460574.6238055,1468189408.3843362,2024497590.1380672,1962090919.4034843,1420681838.6987607,1427118673.0322676,1331151524.973983,1485249038.7269773,2063098603.228355,1458084025.3249779,1914161688.1730888,1197307896.233096,2106600831.0002322,2491167473.236665,1081825803.9978726,1597292437.947307,1530373990.5067034,1842747528.4359357,True,True,True,True,False,False,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,False,0.9568478460485176,0.9927469260710281,0.9576925031582342,0.9710271942727272,0.9525468601488447,0.995781168301805,0.934033539752279,0.9644128850289115,0.9432265104946824,0.9918670525694724,0.9572986179757458,0.9881810633693633,0.9514712541096608,0.9786135723505319,0.9932102379087939,0.9745787352697689,0.9988051622725049,0.9727234267312601,0.9803897784241712,0.9972668535723752,0.9941793137525513,0.9856688757136296,58,237,288,28,519,913,619,147,76,221,870,443,911,9,1011,210,93,704,61,99,815,911
5,634.6441869475077,1302040233.204805,1293168982.0720274,2063068816.4504027,1405755608.9510877,1729925990.6665668,2300998492.8307204,1629465575.3509614,2606531345.6635847,1386103592.8429174,1413585547.7339065,1684173868.7351685,1792605203.9220543,1742646874.6368032,1473537265.4481165,2514361576.9807568,1086269105.6858077,1513355063.755986,2799800782.153366,1985692793.4542508,1347628450.5273674,1195536785.7698715,2407989187.658593,False,True,True,True,False,False,True,True,True,False,True,True,True,False,False,True,False,False,True,False,True,False,0.9568478460485176,0.998026661461281,0.9611049619431785,0.9869225710882432,0.9525468601488447,0.995781168301805,0.9830997804980172,0.9819365531400596,0.9851561721751528,0.9918670525694724,0.9729579913953365,0.9867976096301064,0.9699548162870518,0.9786135723505319,0.9932102379087939,0.9670758845742327,0.9988051622725049,0.9727234267312601,0.9907235325418217,0.9972668535723752,0.9979661246661425,0.9856688757136296,372,289,31,116,381,566,195,490,46,338,43,187,6,950,614,17,139,80,107,196,127,406
6,906.3654243673761,1472112533.9310322,1771582870.9847913,1975997882.0118291,1346992579.8418107,1128433514.110367,2243028111.784275,1402174845.5873575,1381205375.1410518,1804552369.9825845,1771835871.6588938,1398267580.4579463,1427299056.371647,1870762326.968121,1457041583.9150102,999678731.7315061,2766650219.002567,1956611512.0887766,1250458548.002638,1430368197.906101,1245126923.9422073,1517823699.7792888,1970561678.733765,True,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,True,False,0.9920088967668829,0.9963783288891518,0.9611049619431785,0.9869225710882432,0.9857358666093563,0.995781168301805,0.991599600346687,0.9819365531400596,0.9851561721751528,0.9929747976579093,0.9729579913953365,0.9867976096301064,0.9897706407386601,0.9708028557823106,0.9989158097852892,0.9663738423646328,0.9984877781468403,0.9727234267312601,0.9907235325418217,0.9972668535723752,0.9993245170527126,0.9856688757136296,16,71,277,465,34,538,802,221,517,116,921,1021,55,710,201,646,899,685,354,733,871,450
7,974.3371216255267,2956302893.031275,1364688391.4655445,1249163376.811937,1036065637.6979108,1715836043.6995506,2124066972.177951,1369727488.6532128,1286526092.8181682,1422496776.9158216,1786546742.8632762,1559455600.0623937,2108545806.2193074,1765440948.486368,1308186239.7017748,1067776540.5660647,1918556495.3632615,2120707328.9195402,2765906689.91241,1089615643.99696,1232187526.3400557,1546126281.3063745,2401139877.596513,True,False,True,True,True,False,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,0.9924476360238234,0.9963783288891518,0.9779458894840365,0.9772986238220207,0.9787276686854239,0.995781168301805,0.9989324301247019,0.9729719756760056,0.9810914071738466,0.9929747976579093,0.9911080779660018,0.9867976096301064,0.9897706407386601,0.9708028557823106,0.9982737521116584,0.9700810404399366,0.989447602302507,0.9727234267312601,0.9907235325418217,0.9972668535723752,0.9993245170527126,0.9856688757136296,575,6,194,189,238,115,776,268,339,255,23,378,218,445,58,178,115,83,712,111,366,761
8,1196.064857088205,1421457878.5853605,2076041957.4070601,1155518126.6207242,1003701172.2822881,1940141222.4246418,2448421900.330307,1410656562.7153387,1019389901.8785124,1885085512.0168402,1596975838.5436437,1333033270.0722904,2383052561.5700407,977222097.1137809,1347326082.5060048,2228778946.575949,1451802549.4409873,1381220812.670067,1179593909.987856,1630751176.7454898,1389218679.8976908,1176869021.73625,1948136220.2467046,False,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,True,True,False,True,False,0.9924476360238234,0.9909211932185851,0.9827582887417043,0.9806394128129123,0.9787276686854239,0.9888022179902547,0.9989324301247019,0.9994604138672971,0.9810914071738466,0.9888578073288081,0.9911080779660018,0.9867976096301064,0.9814642379729775,0.9708028557823106,0.9982737521116584,0.993185307357968,0.9805914966797833,0.9749855334681725,0.9880439700725715,0.9972668535723752,0.9908790369255964,0.9856688757136296,970,297,557,92,731,17,762,17,454,34,951,318,326,567,381,307,26,416,612,326,256,534
9,707.4501485841565,1711003041.9138536,1639289813.0213082,1583098926.5613055,1482240203.9647918,1986272336.572518,1557174515.1597981,1202439352.886877,2528878237.7623854,1359959203.7938542,1817198002.8832293,1272046789.8477113,2314177297.037163,1692521627.8644185,1460888977.0586076,2186320022.302477,1984700616.3955934,2560967494.6324863,2626493732.821129,1154938287.790256,1223620982.6774507,1151226501.4710302,2217792100.819757,True,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,True,False,False,0.9965275281817058,0.9909211932185851,0.9915686477355645,0.9815782157223601,0.9787276686854239,0.9912933257524185,0.9989324301247019,0.9994604138672971,0.9810914071738466,0.9917928560735981,0.9911080779660018,0.9867976096301064,0.9814642379729775,0.9889409315818734,0.9933364140704813,0.993185307357968,0.997150455941827,0.9749855334681725,0.9957901855315827,0.9908289476765675,0.9908790369255964,0.9856688757136296,431,536,402,121,664,528,198,145,894,23,339,505,869,61,167,882,44,392,36,238,933,611
10,773.2547906690953,1455512152.7845762,1432120919.9367154,1607897076.456759,1192130915.2414372,1195018749.4885998,1527248752.9258363,2200313591.3346086,2834919190.7765474,1331370831.618758,2056237123.3150802,1236920350.3828223,1789999994.5695224,1379649202.2334585,1382807276.3972597,1282654963.1266983,2448408542.929377,2769778735.3515,1410427271.1536996,1821843907.7776296,1072146992.0591352,1371014672.8109415,2023267415.1135395,False,True,False,True,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,0.9965275281817058,0.9933171379954239,0.9915686477355645,0.9920026818074636,0.9824987944340318,0.9912933257524185,0.9989324301247019,0.9942383745368786,0.9810914071738466,0.9917928560735981,0.9855390852074201,0.9990883086654411,0.9814642379729775,0.9864645537448706,0.9933364140704813,0.993185307357968,0.9948616903316533,0.9749855334681725,0.9957901855315827,0.9884253893067412,0.9826315501727669,0.9856688757136296,388,393,267,573,7,239,441,11,345,39,108,12,317,244,721,956,17,567,940,18,946,544
11,1012.1113548902464,1495911023.1702623,1231101942.8023038,1401010317.811416,1475538242.834443,1131538136.6647594,1264822556.175336,1499152679.4129033,1032334019.6619954,1698535458.0022948,2112867028.5255218,1759849649.6591709,2376873668.3881145,1522398627.344277,1303043136.8240657,2387658921.215965,1617897961.7353928,1161184114.56301,1180229178.148652,1600835886.2667553,1357608686.1570928,1136973597.8306255,1482246092.934989,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,True,True,0.9907516945335937,0.989028167737229,0.988498601487146,0.9920026818074636,0.9956072961923098,0.9912933257524185,0.9989324301247019,0.9923657981088113,0.9810914071738466,0.9898457862306163,0.9855390852074201,0.9990883086654411,0.9814642379729775,0.9864645537448706,0.9933364140704813,0.990298000213218,0.9883471219769588,0.9961687403776952,0.9957901855315827,0.9884253893067412,0.9767390144045198,0.9820468778375183,162,29,594,161,323,682,169,21,393,37,1018,615,454,701,715,399,174,553,827,736,906,386
12,5435.736104141004,1374012281.2229664,2070615435.7414005,2040171966.2081172,1366675166.5019968,1488798729.4242492,1809452854.1309443,1293955329.544364,1709307795.8450541,1691051306.2396414,1389612055.3371418,1263457800.639306,2499846172.5549097,941451159.5367982,1475196227.085585,1421833668.7433665,2338720151.305834,1970049168.584753,1721489544.1401916,1416710049.3050349,1609250952.1183238,1290474164.5149622,2706006938.414251,True,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,True,False,True,True,False,0.9954064307145186,0.989028167737229,0.988498601487146,0.9920026818074636,0.9956072961923098,0.9912933257524185,0.9989324301247019,0.9879649231720377,0.9810914071738466,0.99468825606153,0.9855390852074201,0.9990883086654411,0.9866786231038067,0.9853680716656062,0.9924702602316549,0.990298000213218,0.9806620794327315,0.9974915077601083,0.9957901855315827,0.994129589415593,0.996198862421926,0.9820468778375183,492,687,603,222,694,334,715,11,441,84,996,469,106,22,106,103,8,541,762,31,233,856
13,1182.5116961510407,2032308378.0274467,1590257015.2699888,1239575835.8676364,1528217427.4927886,1894472659.2366433,1716977149.3212008,1023729211.9571967,1416446589.277178,1308500428.0303981,2026291217.1562297,1482475533.1482131,1944236153.9143267,2131370207.7800202,1472597063.3126862,2399559688.8925295,1077921791.75177,2748419053.250868,2810522688.2524366,1548485219.135288,994243077.0699427,1165435512.7739658,1539432228.6652465,False,True,True,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,0.9954064307145186,0.9942115380108633,0.9796339061688344,0.993911743131188,0.9956072961923098,0.9912933257524185,0.9989324301247019,0.9879649231720377,0.9810914071738466,0.9878282424375656,0.9853487491945281,0.9990883086654411,0.992939922569673,0.9853680716656062,0.9924702602316549,0.9901152421295148,0.9806620794327315,0.9974915077601083,0.9957901855315827,0.9982307690632609,0.996198862421926,0.9872231617144128,300,24,7,248,782,777,191,506,189,233,225,327,17,843,431,313,315,7,415,21,362,297
14,845.2904399068453,1300087289.1169758,1725326654.252017,1990692952.021967,1470386586.4897606,1807684152.2067342,1377626813.2713492,1271391737.6405683,964323835.7304014,1706644078.1247025,2167668644.4819493,1324988557.229982,1440346755.2311695,1915490052.0285141,1463796388.6886568,1930173605.5017457,1484319592.2185078,1372900141.4741938,2294387084.440224,1959778150.179917,1284229454.320201,1049436705.9839634,1679997119.456751,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,True,0.9990138154019667,0.9942115380108633,0.9796339061688344,0.993911743131188,0.9905681480863914,0.9893824779972581,0.9989324301247019,0.9879649231720377,0.9810914071738466,0.994596253031084,0.9979955100218825,0.9990883086654411,0.992939922569673,0.9853680716656062,0.9862327174205676,0.9901152421295148,0.99607597492002,0.9981196658132617,0.9957901855315827,0.9906170563132732,0.996198862421926,0.9808682611092265,423,288,672,56,115,262,528,54,366,785,862,94,128,329,455,474,484,512,535,13,466,24
15,569.2925435450763,2817168469.4243484,2039409657.5525842,1995468648.0908134,1371809144.9919775,1948753450.2671757,2058719730.2172124,1908482811.5495763,2330249485.086625,1819369777.2512622,2005111006.730283,1618701543.5026548,1406917615.8283165,1725575406.1521645,1314674675.5237453,1255277391.3364809,1492911737.2582064,1178716098.2496583,1119410978.8701775,1865209130.973315,1444074918.2171595,1083602360.9224234,1831926596.0818043,False,True,False,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True,0.9990138154019667,0.9949429787138386,0.9796339061688344,0.993911743131188,0.9905681480863914,0.9893824779972581,0.9899796127322231,0.9983027616173339,0.9810914071738466,0.9950308626479349,0.9955086231088529,0.9990883086654411,0.9857897884810043,0.9853680716656062,0.988325235091512,0.9901152421295148,0.9928042186498106,0.9981196658132617,0.9957901855315827,0.9906170563132732,0.996198862421926,0.994226829407712,444,146,232,258,122,460,456,15,55,79,33,891,209,535,373,561,9,465,701,82,331,68
16,959.2463970056492,2622542564.708273,1345371967.0644195,1104358160.4034812,1121918936.9698355,1222616692.5129972,1998353217.7543566,1407961822.8688421,2470680486.6277747,1473015456.5503457,1553179357.0443377,1330574081.9069495,1291726465.432057,1708391451.6841888,1488661992.8815937,2424487647.6452093,1077674019.2163286,2590949095.997374,2135458081.0309567,1338043750.3857398,1357248475.9477744,1091553174.974331,2057347667.0193627,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,0.9990138154019667,0.9988784711814505,0.978272439401721,0.986597314085495,0.9976613306750788,0.9893824779972581,0.9899796127322231,0.9983027616173339,0.9810914071738466,0.996333341880418,0.9955086231088529,0.9970727886765112,0.9790638415423047,0.9853680716656062,0.988325235091512,0.9901152421295148,0.9928042186498106,0.9981196658132617,0.9905130314725985,0.9890315107151338,0.996198862421926,0.994226829407712,418,266,494,558,16,699,397,745,69,133,114,57,49,68,249,800,258,352,19,109,368,669
17,730.3097393014564,1799284120.0580807,1981795666.828151,1442946180.0694275,1350172558.7276964,1357102421.971481,1343251551.5066304,1551939276.1660326,2587655094.591506,1437911355.0153904,1097477855.9176369,1671056382.8369122,1300365059.3929977,1491549336.6609256,1363475081.9649644,1093095086.1527214,2232482694.355375,2184872153.866952,1014944403.5319917,1693897809.9667819,1281603959.5583172,1456152079.5085442,2508183874.4637537,False,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,False,False,0.9990138154019667,0.9987593056061456,0.98149956787667,0.9969247356789506,0.988898817342283,0.9893824779972581,0.9899796127322231,0.9983027616173339,0.9810914071738466,0.9958947707513267,0.9901952372471874,0.998499622548108,0.9790638415423047,0.9982117262590763,0.988325235091512,0.9901152421295148,0.9918971345172548,0.9981196658132617,0.9852655069080207,0.9890315107151338,0.996198862421926,0.994226829407712,513,14,410,269,80,671,380,256,727,219,18,16,665,741,659,757,142,695,25,272,657,681
18,460.7337884976841,2506163201.8481326,1962151810.6380236,1431163465.0328166,1407620809.1024113,2055657112.5734653,1925015229.6023483,1042645023.983964,1755009522.3839343,1300219720.9098392,1225743835.1467497,1763119715.5849347,1583719712.2896597,1124777405.5205395,1394278729.014917,2327757404.7180514,2396923056.909817,1548088139.4138591,2706056070.102822,1292825405.4440901,1331884461.896964,1443341843.3347657,1905021514.1080356,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,0.9990138154019667,0.9998391376957271,0.9799066684379674,0.993943869306094,0.988898817342283,0.9895010665574409,0.9928546430241634,0.9983027616173339,0.9810914071738466,0.9882189820627705,0.9982892213607553,0.998499622548108,0.9801605410304969,0.9982117262590763,0.988325235091512,0.9901152421295148,0.9918971345172548,0.9981196658132617,0.9822037600552342,0.9854445513557458,0.996198862421926,0.994226829407712,212,479,14,180,207,82,130,262,968,194,13,185,6,10,770,833,582,653,37,76,1015,608
