round,n_runs_per_round,n_gen,pop_size,seeds,alpha,c,S,f_min,f_max,epsilon_0,beta_h,theta_prev
0,5,200,150,"[1, 2, 3, 4, 5]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
1,5,200,150,"[6, 7, 8, 9, 10]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
2,5,200,150,"[11, 12, 13, 14, 15]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
3,5,200,150,"[16, 17, 18, 19, 20]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
4,5,200,150,"[21, 22, 23, 24, 25]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
5,5,200,150,"[26, 27, 28, 29, 30]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
6,5,200,150,"[31, 32, 33, 34, 35]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
7,5,200,150,"[36, 37, 38, 39, 40]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
8,5,200,150,"[41, 42, 43, 44, 45]","[2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18, 2e-18]","[18, 14, 26, 28, 29, 30, 7, 21, 8, 20, 21, 9, 19, 14, 10, 14, 6, 15, 25, 27, 27, 24]","[87569667.35692044, 54424826.12183597, 72860252.30432472, 56002155.59640004, 70410788.07443835, 36176971.0760641, 57512727.66215285, 93589904.73692413, 2969625.555187653, 45482622.17811229, 40510137.85054337, 75158554.96132895, 72199368.22986205, 29076303.79404539, 83254579.94787714, 90355643.18844275, 86430345.10179827, 12924738.098418415, 48315112.35888046, 55772998.86593721, 1343362.578742072, 38808670.17966973]","[1285766412.153551, 1223133010.784469, 1012619676.393334, 924965837.1441292, 1120893027.6669247, 1221404334.9271693, 934610987.8448703, 945091717.2624179, 996773053.329399, 1081728403.3689075, 1228984047.3242683, 1262971680.4728305, 926226875.4029845, 1281156950.924567, 936027032.0631135, 1049816594.3755664, 1113040911.832322, 1001889544.9410242, 1064899528.1167922, 966661679.3772779, 1030575961.1787517, 1234875532.278049]","[2998096738.95591, 2102650342.7523708, 2201958157.872568, 1825278090.8221657, 2115947013.1028852, 2449587097.2651954, 2231471383.5074024, 2944091694.9249535, 1895961189.8968031, 2203473960.4335356, 1824998839.3126638, 2515318300.42455, 2277705881.389347, 1504564184.6032667, 2516133509.911689, 2894176407.0469637, 2775910458.50049, 2862604671.5621862, 2166129635.0185437, 1712657533.9787638, 1552721724.0110495, 2707726237.5964947]",0.999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1222820697402687, 0.2943078088786424, 0.4934642184077253, 0.011028984235142335, 0.3121132814183858, 0.2386992907450229, 0.2983478049083439, 0.444872308250449, 0.36800230807422196, 0.25422009504289145, 0.4502306441714789, 0.016707845419925777, 0.49828051809783686, 0.19672823895585723, 0.3140660954290722, 0.49205207279985014, 0.3351462959897751, 0.3945903876113732, 0.4809357409675249, 0.1565730520651137, 0.3193012022728344, 0.4389864804957928]"
